"Preview Page","Prévisualiser la page"
"Versions","Versions"
"Version Id","Id version"
"Restore","Restaurer"
"This will load this version into current page without saving it. Continue?","Ceci va restaurer cette version dans la page courante sans la sauvegarder. Continuer ?"
"Preview","Prévisualiser"
"Delete","Supprimer"
"Are you sure?","Êtes-vous sûr ?"
"The version has been loaded successfully.","La version a été restaurée avec succès."
"Unable to find a version to restore.","Impossible de trouer la version à restaurer."
"Unable to find a version to preview.","Impossible de trouver la version à prévisualiser."
"The version has been deleted.","La version a été supprimée."
"Unable to find a version to delete.","Impossible de trouver la version à supprimer."
